TID,SDate,TName,SStationID,AStationID,STime,ATime
109,2019-12-19,C5003               ,1599,1621,2019-12-19 10:11:00,2019-12-19 11:11:00
110,2019-12-20,C5003               ,1599,1621,2019-12-20 10:11:00,2019-12-20 11:11:00
111,2019-12-21,C5003               ,1599,1621,2019-12-21 10:11:00,2019-12-21 11:11:00
112,2019-12-22,C5003               ,1599,1621,2019-12-22 10:11:00,2019-12-22 11:11:00
113,2019-12-23,C5003               ,1599,1621,2019-12-23 10:11:00,2019-12-23 11:11:00
114,2019-12-24,C5003               ,1599,1621,2019-12-24 10:11:00,2019-12-24 11:11:00
115,2019-12-25,C5003               ,1599,1621,2019-12-25 10:11:00,2019-12-25 11:11:00
116,2019-12-26,C5003               ,1599,1621,2019-12-26 10:11:00,2019-12-26 11:11:00
117,2019-12-27,C5003               ,1599,1621,2019-12-27 10:11:00,2019-12-27 11:11:00
118,2019-12-28,C5003               ,1599,1621,2019-12-28 10:11:00,2019-12-28 11:11:00
119,2019-12-29,C5003               ,1599,1621,2019-12-29 10:11:00,2019-12-29 11:11:00
120,2019-12-30,C5003               ,1599,1621,2019-12-30 10:11:00,2019-12-30 11:11:00
121,2019-12-31,C5003               ,1599,1621,2019-12-31 10:11:00,2019-12-31 11:11:00
122,2020-01-01,C5003               ,1599,1621,2020-01-01 10:11:00,2020-01-01 11:11:00
123,2020-01-02,C5003               ,1599,1621,2020-01-02 10:11:00,2020-01-02 11:11:00
124,2020-01-03,C5003               ,1599,1621,2020-01-03 10:11:00,2020-01-03 11:11:00
125,2020-01-04,C5003               ,1599,1621,2020-01-04 10:11:00,2020-01-04 11:11:00
126,2020-01-05,C5003               ,1599,1621,2020-01-05 10:11:00,2020-01-05 11:11:00
127,2020-01-06,C5003               ,1599,1621,2020-01-06 10:11:00,2020-01-06 11:11:00
128,2020-01-07,C5003               ,1599,1621,2020-01-07 10:11:00,2020-01-07 11:11:00
129,2020-01-08,C5003               ,1599,1621,2020-01-08 10:11:00,2020-01-08 11:11:00
130,2020-01-09,C5003               ,1599,1621,2020-01-09 10:11:00,2020-01-09 11:11:00
131,2020-01-10,C5003               ,1599,1621,2020-01-10 10:11:00,2020-01-10 11:11:00
132,2020-01-11,C5003               ,1599,1621,2020-01-11 10:11:00,2020-01-11 11:11:00
133,2020-01-12,C5003               ,1599,1621,2020-01-12 10:11:00,2020-01-12 11:11:00
134,2020-01-13,C5003               ,1599,1621,2020-01-13 10:11:00,2020-01-13 11:11:00
135,2020-01-14,C5003               ,1599,1621,2020-01-14 10:11:00,2020-01-14 11:11:00
136,2020-01-15,C5003               ,1599,1621,2020-01-15 10:11:00,2020-01-15 11:11:00
137,2020-01-16,C5003               ,1599,1621,2020-01-16 10:11:00,2020-01-16 11:11:00
138,2020-01-17,C5003               ,1599,1621,2020-01-17 10:11:00,2020-01-17 11:11:00
139,2020-01-18,C5003               ,1599,1621,2020-01-18 10:11:00,2020-01-18 11:11:00
140,2020-01-19,C5003               ,1599,1621,2020-01-19 10:11:00,2020-01-19 11:11:00
141,2020-01-20,C5003               ,1599,1621,2020-01-20 10:11:00,2020-01-20 11:11:00
142,2020-01-21,C5003               ,1599,1621,2020-01-21 10:11:00,2020-01-21 11:11:00
143,2020-01-22,C5003               ,1599,1621,2020-01-22 10:11:00,2020-01-22 11:11:00
144,2020-01-23,C5003               ,1599,1621,2020-01-23 10:11:00,2020-01-23 11:11:00
145,2020-01-24,C5003               ,1599,1621,2020-01-24 10:11:00,2020-01-24 11:11:00
146,2020-01-25,C5003               ,1599,1621,2020-01-25 10:11:00,2020-01-25 11:11:00
147,2020-01-26,C5003               ,1599,1621,2020-01-26 10:11:00,2020-01-26 11:11:00
148,2020-01-27,C5003               ,1599,1621,2020-01-27 10:11:00,2020-01-27 11:11:00
149,2020-01-28,C5003               ,1599,1621,2020-01-28 10:11:00,2020-01-28 11:11:00
150,2020-01-29,C5003               ,1599,1621,2020-01-29 10:11:00,2020-01-29 11:11:00
151,2020-01-30,C5003               ,1599,1621,2020-01-30 10:11:00,2020-01-30 11:11:00
152,2020-01-31,C5003               ,1599,1621,2020-01-31 10:11:00,2020-01-31 11:11:00
153,2020-02-01,C5003               ,1599,1621,2020-02-01 10:11:00,2020-02-01 11:11:00
154,2020-02-02,C5003               ,1599,1621,2020-02-02 10:11:00,2020-02-02 11:11:00
155,2020-02-03,C5003               ,1599,1621,2020-02-03 10:11:00,2020-02-03 11:11:00
156,2020-02-04,C5003               ,1599,1621,2020-02-04 10:11:00,2020-02-04 11:11:00
157,2020-02-05,C5003               ,1599,1621,2020-02-05 10:11:00,2020-02-05 11:11:00
158,2020-02-06,C5003               ,1599,1621,2020-02-06 10:11:00,2020-02-06 11:11:00
159,2020-02-07,C5003               ,1599,1621,2020-02-07 10:11:00,2020-02-07 11:11:00
160,2020-02-08,C5003               ,1599,1621,2020-02-08 10:11:00,2020-02-08 11:11:00
161,2020-02-09,C5003               ,1599,1621,2020-02-09 10:11:00,2020-02-09 11:11:00
162,2020-02-10,C5003               ,1599,1621,2020-02-10 10:11:00,2020-02-10 11:11:00
163,2020-02-11,C5003               ,1599,1621,2020-02-11 10:11:00,2020-02-11 11:11:00
164,2020-02-12,C5003               ,1599,1621,2020-02-12 10:11:00,2020-02-12 11:11:00
165,2020-02-13,C5003               ,1599,1621,2020-02-13 10:11:00,2020-02-13 11:11:00
166,2020-02-14,C5003               ,1599,1621,2020-02-14 10:11:00,2020-02-14 11:11:00
167,2020-02-15,C5003               ,1599,1621,2020-02-15 10:11:00,2020-02-15 11:11:00
168,2020-02-16,C5003               ,1599,1621,2020-02-16 10:11:00,2020-02-16 11:11:00
169,2020-02-17,C5003               ,1599,1621,2020-02-17 10:11:00,2020-02-17 11:11:00
170,2020-02-18,C5003               ,1599,1621,2020-02-18 10:11:00,2020-02-18 11:11:00
171,2020-02-19,C5003               ,1599,1621,2020-02-19 10:11:00,2020-02-19 11:11:00
